id,name,type,level,year,floors,elevator,elevator_goods,building_area,property_fee,park_fee,park_overground,park_underground,floor_area,floor_height,pure_height,hall_height,if_foreign,if_register,latitude,longitude,store_nearby,mall_nearby,park_nearby,hotel_nearby,metro_nearby,rent,rent_haozu,rent_BC_haozu
2061,歆翱商务大厦,4,3,-1,12,3,0,16000,10,0,0,0,0,4,0,0,1,1,31.2507,121.336,5,0,5,3,0,2.54,2.7,9.86
2062,张江智创,4,3,-1,4,0,0,0,10,0,0,0,0,0,0,0,1,1,31.2497,121.707,1,0,1,2,0,4.06,2,4.68
2063,东方渔人码头,4,3,3,0,0,0,234329,0,0,0,0,0,0,0,0,1,1,31.2582,121.539,15,0,15,3,0,5.78,6.22,5.34
2066,滨江国际广场,4,3,7,18,6,2,149851,23,1000,13,635,3200,2.9,3,6,1,1,31.2578,121.537,11,0,11,2,0,4.87,5.95,5.34
2068,合星大厦,4,3,7,12,4,0,20000,21,0,0,0,0,3.2,0,0,1,1,31.229,121.389,5,2,5,2,0,4.06,4.77,5.04
2070,世纪商务大厦,4,3,14,30,4,1,43535,30,600,30,45,2424,3.5,3,4,1,1,31.2496,121.449,28,5,28,24,2,3.45,4.07,5.94
2073,同济逸仙大厦,4,3,8,18,5,1,90290,22,1000,45,389,1600,3.9,2.9,8,0,1,31.3002,121.497,20,0,20,15,0,4.06,3.86,24.11
2076,宝华城市晶典大厦,2,3,10,20,3,1,24500,22,800,10,180,1100,3.5,2.8,7,1,1,31.2436,121.444,37,5,37,27,2,5.07,5.49,5.94
2080,新天国际大厦,4,3,20,30,5,1,47500,20,1000,151,150,1206,2.6,2.4,4,1,1,31.2301,121.538,20,0,20,15,2,4.56,5.5,11.33
2082,五环大厦,2,2,20,12,2,1,9600,2,600,50,0,800,3.5,2.5,5,0,1,31.2773,121.515,30,5,30,8,1,3.04,3.38,5.63
2084,上海物资大厦,4,3,-1,28,2,0,33625,0,0,0,0,0,3,0,0,1,1,31.2456,121.488,58,18,58,50,2,2.6,2.6,10.33
2087,思创大厦,4,2,21,30,3,1,59432,30,1000,20,150,914,3.6,2.5,4,0,1,31.2195,121.403,18,3,18,11,0,2.64,3,4.88
2088,淮海国际广场,6,3,-1,30,8,1,73016,30,1500,1,255,744,45,2.7,7,1,1,31.2215,121.463,27,7,27,33,1,8.11,11.28,10.3
2092,上海医药大厦,4,3,21,21,7,1,12400,30,1100,50,0,578,3.6,2.6,3,1,1,31.2272,121.48,18,7,18,16,1,6.76,0,0
2094,嘉杰国际广场,5,3,10,27,6,1,103000,19.3,800,0,380,1233,3.3,2.5,4.5,1,1,31.2734,121.489,32,5,32,10,1,4.06,6.28,6.6
2095,丽晶阳光大厦,4,2,13,26,4,1,35000,15,150,20,60,1154,3.2,2.7,3.5,1,1,31.2399,121.435,25,1,25,15,2,3.45,3.88,5.94
